# Snapshot bandwidth measurement
# server: in-memory persistence, fog-of-war PvP, 60 plies played
# bytes are raw JSON length of WS frames received per client
#
ply,mover,white_frame_bytes,black_frame_bytes,white_cumulative,black_cumulative
1,white,2459,2641,9466,7047
2,black,2903,2459,12369,9506
3,white,2721,2879,15090,12385
4,black,3141,2721,18231,15106
5,white,2988,3141,21219,18247
6,black,3456,2983,24675,21230
7,white,3250,3379,27925,24609
8,black,3694,3255,31619,27864
9,white,3512,3819,35131,31683
10,black,3980,3512,39111,35195
11,white,3821,4124,42932,39319
12,black,4428,3769,47360,43088
13,white,4078,4285,51438,47373
14,black,4666,4031,56104,51404
15,white,4340,4571,60444,55975
16,black,4928,4293,65372,60268
17,white,4560,4785,69932,65053
18,black,5101,4556,75033,69609
19,white,4870,5216,79903,74825
20,black,5554,4818,85457,79643
21,white,5085,5334,90542,84977
22,black,5697,5080,96239,90057
23,white,5347,5644,101586,95701
24,black,5983,5342,107569,101043
25,white,5609,5882,113178,106925
26,black,6245,5599,119423,112524
27,white,5871,6115,125294,118639
28,black,6507,5856,131801,124495
29,white,6227,6387,138028,130882
30,black,6983,6167,145011,137049
31,white,6484,6707,151495,143756
32,black,7168,6434,158663,150190
33,white,6751,6998,165414,157188
34,black,7459,6706,172873,163894
35,white,7008,7361,179881,171255
36,black,7703,6924,187584,178179
37,white,7223,7512,194807,185691
38,black,7835,7186,202642,192877
39,white,7485,7750,210127,200627
40,black,8049,7458,218176,208085
41,white,7831,8232,226007,216317
42,black,8443,7762,234450,224079
43,white,8093,8494,242543,232573
44,black,8729,8019,251272,240592
45,white,8355,8751,259627,249343
46,black,8991,8286,268618,257629
47,white,8617,9018,277235,266647
48,black,9264,8548,286499,275195
49,white,8884,9293,295383,284488
50,black,9592,8852,304975,293340
51,white,9188,9669,314163,303009
52,black,9944,9151,324107,312160
53,white,9487,9992,333594,322152
54,black,10281,9445,343875,331597
55,white,9787,10273,353662,341870
56,black,10471,9707,364133,351577
57,white,10086,10620,374219,362197
58,black,10833,10006,385052,372203
59,white,10424,10991,395476,383194
60,black,11132,10300,406608,393494

# Summary
# total white ingress: 406608 bytes
# total black ingress: 393494 bytes
# combined: 800102 bytes
# last-frame size (white+black) at ply 60: 21432 bytes
# average frame size (white+black) over last quarter of game: 19409 bytes
