# Snapshot bandwidth measurement
# server: in-memory persistence, fog-of-war PvP, 60 plies played
# wire format: event-appended (delta capability)
# bytes are raw JSON length of WS frames received per client
#
ply,mover,white_frame_bytes,black_frame_bytes,white_cumulative,black_cumulative
1,white,1920,2094,8927,6500
2,black,2094,1920,11021,8420
3,white,1920,2070,12941,10490
4,black,2070,1920,15011,12410
5,white,1925,2070,16936,14480
6,black,2123,1920,19059,16400
7,white,1926,2047,20985,18447
8,black,2100,1931,23085,20378
9,white,1926,2225,25011,22603
10,black,2124,1926,27135,24529
11,white,1973,2268,29108,26797
12,black,2310,1921,31418,28718
13,white,1968,2167,33386,30885
14,black,2286,1921,35672,32806
15,white,1968,2191,37640,34997
16,black,2286,1921,39926,36918
17,white,1926,2143,41852,39061
18,black,2197,1922,44049,40983
19,white,1974,2312,46023,43295
20,black,2388,1922,48411,45217
21,white,1927,2168,50338,47385
22,black,2269,1922,52607,49307
23,white,1927,2216,54534,51523
24,black,2293,1922,56827,53445
25,white,1927,2192,58754,55637
26,black,2293,1917,61047,57554
27,white,1927,2163,62974,59717
28,black,2293,1912,65267,61629
29,white,2021,2173,67288,63802
30,black,2507,1961,69795,65763
31,white,2016,2231,71811,67994
32,black,2430,1966,74241,69960
33,white,2021,2260,76262,72220
34,black,2459,1976,78721,74196
35,white,2016,2361,80737,76557
36,black,2441,1932,83178,78489
37,white,1969,2250,85147,80739
38,black,2311,1932,87458,82671
39,white,1969,2226,89427,84897
40,black,2263,1942,91690,86839
41,white,2053,2446,93743,89285
42,black,2395,1984,96138,91269
43,white,2053,2446,98191,93715
44,black,2419,1979,100610,95694
45,white,2053,2441,102663,98135
46,black,2419,1984,105082,100119
47,white,2053,2446,107135,102565
48,black,2430,1984,109565,104549
49,white,2058,2459,111623,107008
50,black,2496,2026,114119,109034
51,white,2100,2573,116219,111607
52,black,2586,2063,118805,113670
53,white,2137,2634,120942,116304
54,black,2661,2095,123603,118399
55,white,2175,2653,125778,121052
56,black,2589,2095,128367,123147
57,white,2212,2738,130579,125885
58,black,2689,2132,133268,128017
59,white,2288,2847,135556,130864
60,black,2726,2164,138282,133028

# Summary
# total white ingress: 138282 bytes
# total black ingress: 133028 bytes
# combined: 271310 bytes
# last-frame size (white+black) at ply 60: 4890 bytes
# average frame size (white+black) over last quarter of game: 4701 bytes
